date,SPOSTMIN,Ride
2015-05-04,28.170731707317074,Expedition Everest
2015-05-05,19.318181818181817,Expedition Everest
2015-05-06,16.30252100840336,Expedition Everest
2015-05-07,18.060344827586206,Expedition Everest
2015-05-08,22.155172413793103,Expedition Everest
2015-05-09,25.57017543859649,Expedition Everest
2015-05-10,21.641221374045802,Expedition Everest
2015-05-11,14.029126213592233,Expedition Everest
2015-05-12,12.568807339449542,Expedition Everest
2015-05-13,13.109243697478991,Expedition Everest
2015-05-14,20.093457943925234,Expedition Everest
2015-05-15,28.235294117647058,Expedition Everest
2015-05-16,33.27731092436975,Expedition Everest
2015-05-17,32.08029197080292,Expedition Everest
2015-05-18,21.05,Expedition Everest
2015-05-19,20.330578512396695,Expedition Everest
2015-05-20,24.6,Expedition Everest
2015-05-21,25.70175438596491,Expedition Everest
2015-05-22,28.04,Expedition Everest
2015-05-23,33.87596899224806,Expedition Everest
2015-05-24,40.71917808219178,Expedition Everest
2015-05-25,37.925925925925924,Expedition Everest
2015-05-26,36.891891891891895,Expedition Everest
2015-05-27,32.53787878787879,Expedition Everest
2015-05-28,33.85321100917431,Expedition Everest
2015-05-29,36.15384615384615,Expedition Everest
2015-05-30,41.89655172413793,Expedition Everest
2015-05-31,39.166666666666664,Expedition Everest
2015-06-01,31.0,Expedition Everest
2015-06-02,29.267241379310345,Expedition Everest
2015-06-03,28.076923076923077,Expedition Everest
2015-06-04,26.666666666666668,Expedition Everest
2015-06-05,32.476190476190474,Expedition Everest
2015-06-06,30.363636363636363,Expedition Everest
2015-06-07,33.46774193548387,Expedition Everest
2015-06-08,32.67716535433071,Expedition Everest
2015-06-09,34.189189189189186,Expedition Everest
2015-06-10,33.97540983606557,Expedition Everest
2015-06-11,38.87323943661972,Expedition Everest
2015-06-12,30.137614678899084,Expedition Everest
2015-06-13,29.766355140186917,Expedition Everest
2015-06-14,27.7734375,Expedition Everest
2015-06-15,27.559055118110237,Expedition Everest
2015-06-16,26.085271317829456,Expedition Everest
2015-06-17,29.956521739130434,Expedition Everest
2015-06-18,22.834645669291337,Expedition Everest
2015-06-19,20.757575757575758,Expedition Everest
2015-06-20,22.956989247311828,Expedition Everest
