date,SPOSTMIN,Ride
2015-05-23,81.22222222222223,Soarin
2015-05-24,102.79310344827586,Soarin
2015-05-25,88.4,Soarin
2015-05-26,81.06918238993711,Soarin
2015-05-27,67.46621621621621,Soarin
2015-05-28,67.38970588235294,Soarin
2015-05-29,62.16374269005848,Soarin
2015-05-30,66.74657534246575,Soarin
2015-05-31,81.9205298013245,Soarin
2015-06-01,63.81118881118881,Soarin
2015-06-02,74.18831168831169,Soarin
2015-06-03,63.36805555555556,Soarin
2015-06-04,67.97202797202797,Soarin
2015-06-05,58.06748466257669,Soarin
2015-06-06,57.53472222222222,Soarin
2015-06-07,60.8974358974359,Soarin
2015-06-08,74.25170068027211,Soarin
2015-06-09,82.7,Soarin
2015-06-10,82.99270072992701,Soarin
2015-06-11,74.05228758169935,Soarin
2015-06-12,65.24242424242425,Soarin
2015-06-13,55.763888888888886,Soarin
2015-06-14,57.53472222222222,Soarin
2015-06-15,68.63636363636364,Soarin
2015-06-16,63.71875,Soarin
2015-06-17,59.695945945945944,Soarin
2015-06-18,63.41379310344828,Soarin
2015-06-19,58.0625,Soarin
2015-06-20,50.464285714285715,Soarin
2015-06-21,51.793103448275865,Soarin
2015-06-22,64.93150684931507,Soarin
2015-06-23,110.16666666666667,Soarin
2015-06-24,83.85416666666667,Soarin
2015-06-25,81.18055555555556,Soarin
2015-06-26,73.27272727272727,Soarin
2015-06-27,54.09090909090909,Soarin
2015-06-28,60.107142857142854,Soarin
2015-06-29,56.75,Soarin
2015-06-30,72.33108108108108,Soarin
2015-07-01,59.73154362416108,Soarin
2015-07-02,61.42857142857143,Soarin
2015-07-03,60.638297872340424,Soarin
2015-07-04,77.2752808988764,Soarin
2015-07-05,48.56643356643357,Soarin
2015-07-06,54.04761904761905,Soarin
2015-07-07,60.44303797468354,Soarin
2015-07-08,62.51908396946565,Soarin
2015-07-09,61.51851851851852,Soarin
2015-07-10,57.5,Soarin
2015-07-11,54.130434782608695,Soarin
2015-07-12,52.689655172413794,Soarin
2015-07-13,67.12328767123287,Soarin
2015-07-14,67.22527472527473,Soarin
2015-07-15,88.02919708029196,Soarin
2015-07-16,72.46478873239437,Soarin
2015-07-17,73.27044025157232,Soarin
2015-07-18,57.4822695035461,Soarin
2015-07-19,64.76923076923077,Soarin
2015-07-20,86.97916666666667,Soarin
2015-07-21,83.83333333333333,Soarin
2015-07-22,73.69718309859155,Soarin
2015-07-23,73.53333333333333,Soarin
2015-07-24,73.08823529411765,Soarin
2015-07-25,56.27272727272727,Soarin
2015-07-26,57.43055555555556,Soarin
2015-07-27,65.94202898550725,Soarin
2015-07-28,42.10526315789474,Soarin
2015-07-29,80.0,Soarin
2015-07-30,69.375,Soarin
2015-07-31,61.0,Soarin
2015-08-01,57.5,Soarin
2015-08-02,92.82828282828282,Soarin
2015-08-03,68.62385321100918,Soarin
2015-08-04,78.94957983193277,Soarin
2015-08-05,63.611111111111114,Soarin
2015-08-06,64.69827586206897,Soarin
2015-08-07,62.48062015503876,Soarin
2015-08-08,54.61206896551724,Soarin
2015-08-09,60.04385964912281,Soarin
2015-08-10,57.16216216216216,Soarin
2015-08-11,61.75925925925926,Soarin
2015-08-12,58.78260869565217,Soarin
2015-08-13,55.26315789473684,Soarin
2015-08-14,59.12,Soarin
2015-08-15,60.40983606557377,Soarin
2015-08-16,64.05982905982906,Soarin
2015-08-17,73.47107438016529,Soarin
2015-08-18,84.88188976377953,Soarin
2015-08-19,123.47826086956522,Soarin
2015-08-20,75.3125,Soarin
2015-08-21,79.44444444444444,Soarin
2015-08-22,50.90909090909091,Soarin
2015-08-23,54.11504424778761,Soarin
2015-08-24,61.785714285714285,Soarin
2015-08-25,53.828125,Soarin
2015-08-26,53.06306306306306,Soarin
2015-08-27,45.54545454545455,Soarin
2015-08-28,47.05223880597015,Soarin
2015-08-29,37.758620689655174,Soarin
2015-08-30,38.716814159292035,Soarin
2015-08-31,28.617886178861788,Soarin
2015-09-01,27.131147540983605,Soarin
2015-09-02,14.173553719008265,Soarin
2015-09-03,19.047619047619047,Soarin
2015-09-04,33.80281690140845,Soarin
2015-09-05,57.27272727272727,Soarin
2015-09-06,66.29464285714286,Soarin
2015-09-07,46.72566371681416,Soarin
2015-09-08,31.299212598425196,Soarin
2015-09-09,29.220183486238533,Soarin
2015-09-10,26.991150442477878,Soarin
2015-09-11,41.935483870967744,Soarin
2015-09-12,50.04761904761905,Soarin
2015-09-13,39.70338983050848,Soarin
2015-09-14,46.208333333333336,Soarin
