Date,Predicted Line Time
2015-01-01,74.71774193548387
2015-01-02,80.08064516129032
2015-01-03,88.22222222222223
2015-01-04,5.0
2015-01-05,62.32142857142857
2015-01-06,61.42857142857143
2015-01-07,64.66666666666667
2015-01-08,55.101010101010104
2015-01-09,60.476190476190474
2015-01-10,54.08759124087591
2015-01-11,37.46268656716418
2015-01-12,45.52795031055901
2015-01-13,40.26119402985075
2015-01-14,35.196850393700785
2015-01-15,33.06306306306306
2015-01-16,42.72727272727273
2015-01-17,86.03225806451613
2015-01-18,70.07692307692308
2015-01-19,67.98013245033113
2015-01-20,75.98684210526316
2015-01-21,45.07194244604317
2015-01-22,47.56
2015-01-23,42.642276422764226
2015-01-24,47.9136690647482
2015-01-25,57.25
2015-01-26,34.90909090909091
2015-01-27,49.160583941605836
2015-01-28,54.54545454545455
2015-01-29,39.078947368421055
2015-01-30,65.59055118110236
2015-01-31,53.790849673202615
2015-02-01,43.826530612244895
2015-02-02,43.333333333333336
2015-02-03,39.29133858267716
2015-02-04,32.84090909090909
2015-02-05,29.12621359223301
2015-02-06,52.65873015873016
2015-02-07,42.39884393063584
2015-02-08,69.34640522875817
2015-02-09,43.490566037735846
2015-02-10,38.90243902439025
2015-02-11,36.4344262295082
2015-02-12,41.27049180327869
2015-02-13,50.55555555555556
2015-02-14,70.54140127388536
2015-02-15,88.77551020408163
2015-02-16,84.07514450867052
2015-02-17,72.81021897810218
2015-02-18,54.86577181208054
2015-02-19,67.8030303030303
2015-02-20,77.3076923076923
2015-02-21,61.8
2015-02-22,44.68
2015-02-23,48.02469135802469
2015-02-24,34.801587301587304
2015-02-25,40.16129032258065
2015-02-26,38.69047619047619
2015-02-27,61.570247933884296
2015-02-28,48.741721854304636
2015-03-01,67.16129032258064
2015-03-02,40.58139534883721
2015-03-03,35.56
2015-03-04,33.708333333333336
2015-03-05,36.02459016393443
2015-03-06,43.22834645669291
2015-03-07,66.56934306569343
2015-03-08,55.2317880794702
2015-03-09,66.21387283236994
2015-03-10,61.35338345864662
2015-03-11,67.3828125
2015-03-12,43.206896551724135
2015-03-13,57.51633986928105
2015-03-14,63.146067415730336
2015-03-15,59.6242774566474
2015-03-16,73.51123595505618
2015-03-17,70.58441558441558
2015-03-18,76.4963503649635
2015-03-19,58.766666666666666
2015-03-20,55.13157894736842
2015-03-21,55.98101265822785
2015-03-22,55.65625
2015-03-23,76.81547619047619
2015-03-24,68.86363636363636
2015-03-25,50.3
2015-03-26,65.37878787878788
2015-03-27,49.375
2015-03-28,66.875
2015-03-29,44.166666666666664
2015-03-30,82.26804123711341
2015-03-31,65.16949152542372
2015-04-01,80.0
2015-04-02,69.01960784313725
2015-04-03,56.60839160839161
2015-04-04,47.295597484276726
2015-04-05,47.66891891891892
2015-04-06,65.25568181818181
2015-04-07,80.234375
2015-04-08,76.33928571428571
2015-04-09,66.82432432432432
2015-04-10,56.29496402877698
2015-04-11,43.037974683544306
2015-04-12,33.23770491803279
2015-04-13,37.57575757575758
2015-04-14,31.26050420168067
2015-04-15,29.307692307692307
2015-04-16,43.22115384615385
2015-04-17,55.96
2015-04-18,50.34722222222222
2015-04-19,40.0
2015-04-20,42.802547770700635
2015-04-21,38.23529411764706
2015-04-22,37.016806722689076
2015-04-23,62.07446808510638
2015-04-24,56.09756097560975
2015-04-25,64.53020134228188
2015-04-26,62.77777777777778
2015-04-27,63.34586466165413
2015-04-28,34.03225806451613
2015-04-29,35.0
2015-04-30,32.41525423728814
2015-05-01,39.16030534351145
2015-05-02,60.03030303030303
2015-05-03,63.354838709677416
2015-05-04,62.17391304347826
2015-05-05,36.44927536231884
2015-05-06,27.226027397260275
2015-05-07,27.7734375
2015-05-08,34.111111111111114
2015-05-09,38.78048780487805
2015-05-10,30.27777777777778
2015-05-11,36.493506493506494
2015-05-12,34.523809523809526
2015-05-13,26.197183098591548
2015-05-14,45.55118110236221
2015-05-15,45.5
2015-05-16,65.38194444444444
2015-05-17,50.696969696969695
2015-05-18,41.39664804469274
2015-05-19,36.52482269503546
2015-05-20,31.274509803921568
2015-05-21,35.62015503875969
2015-05-22,47.36842105263158
2015-05-23,73.40625
2015-05-24,83.0
2015-05-25,70.09615384615384
2015-05-26,66.22137404580153
2015-05-27,52.26027397260274
2015-05-28,51.8
2015-05-29,5.0
2015-05-30,
2015-05-31,96.47540983606558
2015-06-01,59.70059880239521
2015-06-02,54.617834394904456
2015-06-03,52.44186046511628
2015-06-04,53.064516129032256
2015-06-05,61.859756097560975
2015-06-06,77.60714285714286
2015-06-07,48.22085889570552
2015-06-08,64.8936170212766
2015-06-09,59.7463768115942
2015-06-10,59.48051948051948
2015-06-11,67.5
2015-06-12,64.73856209150327
2015-06-13,60.06410256410256
2015-06-14,56.104294478527606
2015-06-15,58.47402597402598
2015-06-16,49.119496855345915
2015-06-17,58.241379310344826
2015-06-18,53.7828947368421
2015-06-19,55.9375
2015-06-20,45.84848484848485
2015-06-21,40.25974025974026
2015-06-22,56.1849710982659
2015-06-23,54.647887323943664
2015-06-24,64.21985815602837
2015-06-25,53.94039735099338
2015-06-26,54.13333333333333
2015-06-27,44.69135802469136
2015-06-28,41.148648648648646
2015-06-29,64.96774193548387
2015-06-30,57.235772357723576
2015-07-01,49.411764705882355
2015-07-02,79.11764705882354
2015-07-03,63.983050847457626
2015-07-04,55.04950495049505
2015-07-05,39.86013986013986
2015-07-06,54.146341463414636
2015-07-07,67.14285714285714
2015-07-08,60.96551724137931
2015-07-09,52.354838709677416
2015-07-10,53.46153846153846
2015-07-11,42.5974025974026
