date,SACTMIN,Ride
2015-06-19,23.666666666666668,Splash Mountain
2015-06-20,35.666666666666664,Splash Mountain
2015-06-21,,Splash Mountain
2015-06-22,13.0,Splash Mountain
2015-06-23,11.0,Splash Mountain
2015-06-24,28.0,Splash Mountain
2015-06-25,28.333333333333332,Splash Mountain
2015-06-26,30.75,Splash Mountain
2015-06-27,15.166666666666666,Splash Mountain
2015-06-28,,Splash Mountain
2015-06-29,,Splash Mountain
2015-06-30,,Splash Mountain
2015-07-01,12.333333333333334,Splash Mountain
2015-07-02,13.0,Splash Mountain
2015-07-03,23.2,Splash Mountain
2015-07-04,,Splash Mountain
2015-07-05,,Splash Mountain
2015-07-06,15.333333333333334,Splash Mountain
2015-07-07,,Splash Mountain
2015-07-08,6.5,Splash Mountain
2015-07-09,75.0,Splash Mountain
2015-07-10,3.0,Splash Mountain
2015-07-11,19.0,Splash Mountain
2015-07-12,24.666666666666668,Splash Mountain
2015-07-13,24.0,Splash Mountain
2015-07-14,28.25,Splash Mountain
2015-07-15,33.5,Splash Mountain
2015-07-16,22.5,Splash Mountain
2015-07-17,21.25,Splash Mountain
2015-07-18,13.0,Splash Mountain
2015-07-19,,Splash Mountain
2015-07-20,23.0,Splash Mountain
2015-07-21,10.0,Splash Mountain
2015-07-22,17.333333333333332,Splash Mountain
2015-07-23,21.0,Splash Mountain
2015-07-24,10.0,Splash Mountain
2015-07-25,11.333333333333334,Splash Mountain
2015-07-26,17.0,Splash Mountain
2015-07-27,,Splash Mountain
2015-07-28,,Splash Mountain
2015-07-29,24.0,Splash Mountain
2015-07-30,,Splash Mountain
2015-07-31,1.0,Splash Mountain
2015-08-01,21.0,Splash Mountain
2015-08-02,25.0,Splash Mountain
2015-08-03,34.4,Splash Mountain
2015-08-04,28.0,Splash Mountain
2015-08-05,30.0,Splash Mountain
2015-08-06,32.5,Splash Mountain
2015-08-07,10.5,Splash Mountain
2015-08-08,7.0,Splash Mountain
2015-08-09,10.5,Splash Mountain
2015-08-10,,Splash Mountain
2015-08-11,,Splash Mountain
2015-08-12,,Splash Mountain
2015-08-13,3.0,Splash Mountain
2015-08-14,18.75,Splash Mountain
2015-08-15,12.25,Splash Mountain
2015-08-16,21.666666666666668,Splash Mountain
2015-08-17,5.0,Splash Mountain
2015-08-18,,Splash Mountain
2015-08-19,4.0,Splash Mountain
2015-08-20,17.75,Splash Mountain
2015-08-21,41.333333333333336,Splash Mountain
2015-08-22,12.333333333333334,Splash Mountain
2015-08-23,25.0,Splash Mountain
2015-08-24,17.5,Splash Mountain
2015-08-25,33.833333333333336,Splash Mountain
2015-08-26,19.75,Splash Mountain
2015-08-27,19.5,Splash Mountain
2015-08-28,19.2,Splash Mountain
2015-08-29,22.666666666666668,Splash Mountain
2015-08-30,,Splash Mountain
2015-08-31,7.5,Splash Mountain
2015-09-01,13.5,Splash Mountain
2015-09-02,13.25,Splash Mountain
2015-09-03,14.285714285714286,Splash Mountain
2015-09-04,20.25,Splash Mountain
2015-09-05,13.428571428571429,Splash Mountain
2015-09-06,21.0,Splash Mountain
2015-09-07,13.333333333333334,Splash Mountain
2015-09-08,9.666666666666666,Splash Mountain
2015-09-09,37.5,Splash Mountain
2015-09-10,1.0,Splash Mountain
2015-09-11,33.166666666666664,Splash Mountain
2015-09-12,8.75,Splash Mountain
2015-09-13,27.5,Splash Mountain
2015-09-14,21.0,Splash Mountain
2015-09-15,11.2,Splash Mountain
2015-09-16,19.25,Splash Mountain
2015-09-17,31.75,Splash Mountain
2015-09-18,12.0,Splash Mountain
2015-09-19,15.833333333333334,Splash Mountain
2015-09-20,10.6,Splash Mountain
2015-09-21,28.0,Splash Mountain
2015-09-22,12.333333333333334,Splash Mountain
2015-09-23,50.0,Splash Mountain
2015-09-24,30.0,Splash Mountain
2015-09-25,11.8,Splash Mountain
2015-09-26,9.4,Splash Mountain
2015-09-27,14.714285714285714,Splash Mountain
2015-09-28,6.333333333333333,Splash Mountain
2015-09-29,11.222222222222221,Splash Mountain
2015-09-30,22.75,Splash Mountain
2015-10-01,5.4,Splash Mountain
2015-10-02,19.2,Splash Mountain
2015-10-03,12.25,Splash Mountain
2015-10-04,8.333333333333334,Splash Mountain
2015-10-05,16.0,Splash Mountain
2015-10-06,,Splash Mountain
2015-10-07,19.333333333333332,Splash Mountain
2015-10-08,21.0,Splash Mountain
2015-10-09,17.666666666666668,Splash Mountain
2015-10-10,14.333333333333334,Splash Mountain
2015-10-11,10.0,Splash Mountain
2015-10-12,39.2,Splash Mountain
2015-10-13,8.0,Splash Mountain
2015-10-14,21.0,Splash Mountain
2015-10-15,18.25,Splash Mountain
2015-10-16,8.666666666666666,Splash Mountain
2015-10-17,25.666666666666668,Splash Mountain
2015-10-18,2.0,Splash Mountain
2015-10-19,11.5,Splash Mountain
2015-10-20,11.428571428571429,Splash Mountain
2015-10-21,14.0,Splash Mountain
2015-10-22,13.0,Splash Mountain
2015-10-23,16.0,Splash Mountain
2015-10-24,14.416666666666666,Splash Mountain
2015-10-25,18.666666666666668,Splash Mountain
2015-10-26,20.8,Splash Mountain
2015-10-27,7.5,Splash Mountain
2015-10-28,4.5,Splash Mountain
2015-10-29,23.0,Splash Mountain
2015-10-30,23.666666666666668,Splash Mountain
2015-10-31,7.0,Splash Mountain
2015-11-01,45.0,Splash Mountain
2015-11-02,71.0,Splash Mountain
2015-11-03,,Splash Mountain
2015-11-04,12.8,Splash Mountain
2015-11-05,19.5,Splash Mountain
2015-11-06,36.5,Splash Mountain
2015-11-07,29.0,Splash Mountain
2015-11-08,12.333333333333334,Splash Mountain
2015-11-09,15.8,Splash Mountain
2015-11-10,12.0,Splash Mountain
2015-11-11,34.0,Splash Mountain
2015-11-12,40.0,Splash Mountain
2015-11-13,25.0,Splash Mountain
2015-11-14,9.5,Splash Mountain
2015-11-15,9.714285714285714,Splash Mountain
2015-11-16,18.833333333333332,Splash Mountain
2015-11-17,19.142857142857142,Splash Mountain
2015-11-18,10.285714285714286,Splash Mountain
2015-11-19,8.0,Splash Mountain
2015-11-20,19.833333333333332,Splash Mountain
2015-11-21,19.333333333333332,Splash Mountain
2015-11-22,2.0,Splash Mountain
2015-11-23,,Splash Mountain
2015-11-24,25.333333333333332,Splash Mountain
2015-11-25,24.0,Splash Mountain
2015-11-26,0.0,Splash Mountain
2015-11-27,,Splash Mountain
2015-11-28,3.0,Splash Mountain
2015-11-29,19.6,Splash Mountain
2015-11-30,23.0,Splash Mountain
2015-12-01,14.6,Splash Mountain
2015-12-02,1.0,Splash Mountain
2015-12-03,2.6,Splash Mountain
2015-12-04,1.5,Splash Mountain
2015-12-05,17.333333333333332,Splash Mountain
2015-12-06,15.2,Splash Mountain
2015-12-07,2.0,Splash Mountain
2015-12-08,8.333333333333334,Splash Mountain
2015-12-09,12.5,Splash Mountain
2015-12-10,2.0,Splash Mountain
2015-12-11,9.5,Splash Mountain
2015-12-12,27.25,Splash Mountain
2015-12-13,13.0,Splash Mountain
2015-12-14,5.333333333333333,Splash Mountain
2015-12-15,24.5,Splash Mountain
2015-12-16,15.5,Splash Mountain
2015-12-17,15.0,Splash Mountain
2015-12-18,18.666666666666668,Splash Mountain
2015-12-19,,Splash Mountain
2015-12-20,81.0,Splash Mountain
2015-12-21,12.5,Splash Mountain
2015-12-22,10.857142857142858,Splash Mountain
2015-12-23,,Splash Mountain
2015-12-24,,Splash Mountain
2015-12-25,,Splash Mountain
2015-12-26,,Splash Mountain
2015-12-27,33.0,Splash Mountain
2015-12-28,36.333333333333336,Splash Mountain
2015-12-29,,Splash Mountain
2015-12-30,45.75,Splash Mountain
2015-12-31,27.666666666666668,Splash Mountain
2016-01-01,49.0,Splash Mountain
2016-01-02,9.333333333333334,Splash Mountain
2016-01-03,6.333333333333333,Splash Mountain
2016-01-04,14.5,Splash Mountain
2016-01-05,25.0,Splash Mountain
2016-01-06,,Splash Mountain
2016-01-07,21.0,Splash Mountain
2016-01-08,11.5,Splash Mountain
2016-01-09,15.833333333333334,Splash Mountain
2016-01-10,,Splash Mountain
2016-01-11,,Splash Mountain
2016-01-12,,Splash Mountain
2016-01-13,,Splash Mountain
2016-01-14,,Splash Mountain
2016-01-15,15.75,Splash Mountain
2016-01-16,22.0,Splash Mountain
2016-01-17,13.333333333333334,Splash Mountain
2016-01-18,3.0,Splash Mountain
2016-01-19,,Splash Mountain
2016-01-20,17.333333333333332,Splash Mountain
2016-01-21,,Splash Mountain
2016-01-22,,Splash Mountain
2016-01-23,,Splash Mountain
2016-01-24,11.0,Splash Mountain
2016-01-25,27.333333333333332,Splash Mountain
2016-01-26,24.25,Splash Mountain
2016-01-27,2.75,Splash Mountain
2016-01-28,1.6666666666666667,Splash Mountain
2016-01-29,17.333333333333332,Splash Mountain
2016-01-30,3.3333333333333335,Splash Mountain
2016-01-31,21.0,Splash Mountain
2016-02-01,34.0,Splash Mountain
2016-02-02,24.333333333333332,Splash Mountain
2016-02-03,38.333333333333336,Splash Mountain
2016-02-04,11.833333333333334,Splash Mountain
2016-02-05,,Splash Mountain
2016-02-06,4.333333333333333,Splash Mountain
2016-02-07,1.0,Splash Mountain
2016-02-08,,Splash Mountain
2016-02-09,,Splash Mountain
2016-02-10,32.0,Splash Mountain
2016-02-11,42.0,Splash Mountain
2016-02-12,26.666666666666668,Splash Mountain
2016-02-13,,Splash Mountain
2016-02-14,2.0,Splash Mountain
2016-02-15,20.2,Splash Mountain
2016-02-16,28.0,Splash Mountain
2016-02-17,21.0,Splash Mountain
2016-02-18,18.0,Splash Mountain
2016-02-19,16.75,Splash Mountain
2016-02-20,3.0,Splash Mountain
2016-02-21,,Splash Mountain
2016-02-22,7.0,Splash Mountain
2016-02-23,7.0,Splash Mountain
2016-02-24,2.0,Splash Mountain
2016-02-25,23.0,Splash Mountain
2016-02-26,20.0,Splash Mountain
2016-02-27,12.0,Splash Mountain
2016-02-28,6.0,Splash Mountain
2016-02-29,10.333333333333334,Splash Mountain
2016-03-01,22.5,Splash Mountain
2016-03-02,22.0,Splash Mountain
2016-03-03,36.0,Splash Mountain
2016-03-04,,Splash Mountain
2016-03-05,24.666666666666668,Splash Mountain
2016-03-06,24.0,Splash Mountain
2016-03-07,9.0,Splash Mountain
2016-03-08,18.0,Splash Mountain
2016-03-09,,Splash Mountain
2016-03-10,13.5,Splash Mountain
2016-03-11,3.0,Splash Mountain
2016-03-12,31.166666666666668,Splash Mountain
2016-03-13,29.0,Splash Mountain
2016-03-14,,Splash Mountain
2016-03-15,16.0,Splash Mountain
2016-03-16,41.0,Splash Mountain
2016-03-17,24.833333333333332,Splash Mountain
2016-03-18,15.0,Splash Mountain
2016-03-19,13.0,Splash Mountain
2016-03-20,27.5,Splash Mountain
2016-03-21,50.0,Splash Mountain
2016-03-22,13.0,Splash Mountain
2016-03-23,32.0,Splash Mountain
2016-03-24,7.5,Splash Mountain
2016-03-25,6.0,Splash Mountain
2016-03-26,14.5,Splash Mountain
2016-03-27,26.666666666666668,Splash Mountain
2016-03-28,23.0,Splash Mountain
2016-03-29,28.2,Splash Mountain
2016-03-30,26.0,Splash Mountain
2016-03-31,0.0,Splash Mountain
2016-04-01,27.333333333333332,Splash Mountain
2016-04-02,25.5,Splash Mountain
2016-04-03,2.25,Splash Mountain
2016-04-04,19.666666666666668,Splash Mountain
2016-04-05,21.0,Splash Mountain
2016-04-06,27.2,Splash Mountain
2016-04-07,26.333333333333332,Splash Mountain
2016-04-08,6.0,Splash Mountain
2016-04-09,16.4,Splash Mountain
2016-04-10,9.2,Splash Mountain
2016-04-11,13.5,Splash Mountain
2016-04-12,35.0,Splash Mountain
2016-04-13,6.0,Splash Mountain
2016-04-14,21.5,Splash Mountain
2016-04-15,22.333333333333332,Splash Mountain
2016-04-16,14.0,Splash Mountain
2016-04-17,11.0,Splash Mountain
2016-04-18,19.714285714285715,Splash Mountain
2016-04-19,16.0,Splash Mountain
2016-04-20,19.166666666666668,Splash Mountain
2016-04-21,11.0,Splash Mountain
2016-04-22,11.333333333333334,Splash Mountain
2016-04-23,22.75,Splash Mountain
2016-04-24,20.666666666666668,Splash Mountain
2016-04-25,15.333333333333334,Splash Mountain
2016-04-26,25.5,Splash Mountain
2016-04-27,15.0,Splash Mountain
2016-04-28,32.5,Splash Mountain
2016-04-29,14.0,Splash Mountain
2016-04-30,,Splash Mountain
2016-05-01,12.333333333333334,Splash Mountain
2016-05-02,,Splash Mountain
2016-05-03,1.0,Splash Mountain
2016-05-04,3.0,Splash Mountain
2016-05-05,33.5,Splash Mountain
2016-05-06,,Splash Mountain
2016-05-07,20.2,Splash Mountain
2016-05-08,5.666666666666667,Splash Mountain
2016-05-09,18.333333333333332,Splash Mountain
2016-05-10,8.666666666666666,Splash Mountain
2016-05-11,15.5,Splash Mountain
2016-05-12,27.0,Splash Mountain
2016-05-13,21.75,Splash Mountain
2016-05-14,15.0,Splash Mountain
2016-05-15,19.0,Splash Mountain
2016-05-16,6.0,Splash Mountain
2016-05-17,16.75,Splash Mountain
2016-05-18,13.0,Splash Mountain
2016-05-19,26.0,Splash Mountain
2016-05-20,10.0,Splash Mountain
2016-05-21,19.0,Splash Mountain
2016-05-22,32.0,Splash Mountain
2016-05-23,22.0,Splash Mountain
2016-05-24,19.333333333333332,Splash Mountain
2016-05-25,24.75,Splash Mountain
2016-05-26,83.0,Splash Mountain
2016-05-27,28.0,Splash Mountain
2016-05-28,35.8,Splash Mountain
2016-05-29,20.4,Splash Mountain
2016-05-30,20.0,Splash Mountain
2016-05-31,14.0,Splash Mountain
2016-06-01,21.333333333333332,Splash Mountain
2016-06-02,21.0,Splash Mountain
2016-06-03,18.0,Splash Mountain
2016-06-04,6.0,Splash Mountain
2016-06-05,36.0,Splash Mountain
2016-06-06,5.0,Splash Mountain
2016-06-07,10.75,Splash Mountain
2016-06-08,36.0,Splash Mountain
2016-06-09,25.666666666666668,Splash Mountain
2016-06-10,37.0,Splash Mountain
2016-06-11,17.2,Splash Mountain
2016-06-12,25.0,Splash Mountain
2016-06-13,7.0,Splash Mountain
2016-06-14,10.0,Splash Mountain
2016-06-15,34.0,Splash Mountain
2016-06-16,37.0,Splash Mountain
2016-06-17,27.333333333333332,Splash Mountain
2016-06-18,24.0,Splash Mountain
2016-06-19,20.666666666666668,Splash Mountain
2016-06-20,77.0,Splash Mountain
2016-06-21,10.0,Splash Mountain
2016-06-22,18.0,Splash Mountain
2016-06-23,49.0,Splash Mountain
2016-06-24,26.5,Splash Mountain
2016-06-25,27.0,Splash Mountain
2016-06-26,21.2,Splash Mountain
2016-06-27,50.0,Splash Mountain
2016-06-28,14.0,Splash Mountain
2016-06-29,56.0,Splash Mountain
2016-06-30,27.0,Splash Mountain
2016-07-01,,Splash Mountain
2016-07-02,14.25,Splash Mountain
2016-07-03,1.0,Splash Mountain
2016-07-04,,Splash Mountain
2016-07-05,,Splash Mountain
2016-07-06,20.0,Splash Mountain
2016-07-07,,Splash Mountain
2016-07-08,26.25,Splash Mountain
2016-07-09,,Splash Mountain
2016-07-10,,Splash Mountain
2016-07-11,,Splash Mountain
2016-07-12,8.0,Splash Mountain
2016-07-13,35.0,Splash Mountain
2016-07-14,32.0,Splash Mountain
2016-07-15,47.5,Splash Mountain
2016-07-16,46.0,Splash Mountain
2016-07-17,1.0,Splash Mountain
2016-07-18,29.0,Splash Mountain
2016-07-19,19.0,Splash Mountain
2016-07-20,33.333333333333336,Splash Mountain
2016-07-21,,Splash Mountain
2016-07-22,23.666666666666668,Splash Mountain
2016-07-23,,Splash Mountain
2016-07-24,24.5,Splash Mountain
2016-07-25,,Splash Mountain
2016-07-26,32.5,Splash Mountain
2016-07-27,14.0,Splash Mountain
2016-07-28,26.0,Splash Mountain
2016-07-29,,Splash Mountain
2016-07-30,69.0,Splash Mountain
2016-07-31,26.25,Splash Mountain
2016-08-01,20.0,Splash Mountain
2016-08-02,11.0,Splash Mountain
2016-08-03,,Splash Mountain
2016-08-04,42.0,Splash Mountain
2016-08-05,42.0,Splash Mountain
2016-08-06,16.666666666666668,Splash Mountain
2016-08-07,25.8,Splash Mountain
2016-08-08,16.0,Splash Mountain
2016-08-09,,Splash Mountain
2016-08-10,34.0,Splash Mountain
2016-08-11,40.0,Splash Mountain
2016-08-12,13.0,Splash Mountain
2016-08-13,24.0,Splash Mountain
2016-08-14,12.0,Splash Mountain
2016-08-15,,Splash Mountain
2016-08-16,8.0,Splash Mountain
2016-08-17,11.5,Splash Mountain
2016-08-18,12.0,Splash Mountain
2016-08-19,33.0,Splash Mountain
2016-08-20,,Splash Mountain
2016-08-21,8.0,Splash Mountain
2016-08-22,17.0,Splash Mountain
2016-08-23,3.0,Splash Mountain
2016-08-24,26.666666666666668,Splash Mountain
2016-08-25,34.0,Splash Mountain
2016-08-26,,Splash Mountain
2016-08-27,24.666666666666668,Splash Mountain
2016-08-28,13.25,Splash Mountain
2016-08-29,21.0,Splash Mountain
2016-08-30,16.5,Splash Mountain
2016-08-31,29.0,Splash Mountain
2016-09-01,22.5,Splash Mountain
2016-09-02,14.666666666666666,Splash Mountain
2016-09-03,24.0,Splash Mountain
2016-09-04,,Splash Mountain
2016-09-05,13.0,Splash Mountain
2016-09-06,23.666666666666668,Splash Mountain
2016-09-07,8.0,Splash Mountain
2016-09-08,24.0,Splash Mountain
2016-09-09,41.5,Splash Mountain
2016-09-10,24.5,Splash Mountain
2016-09-11,4.0,Splash Mountain
2016-09-12,2.0,Splash Mountain
2016-09-13,14.75,Splash Mountain
2016-09-14,20.8,Splash Mountain
2016-09-15,15.0,Splash Mountain
2016-09-16,8.375,Splash Mountain
2016-09-17,20.0,Splash Mountain
2016-09-18,22.333333333333332,Splash Mountain
2016-09-19,30.333333333333332,Splash Mountain
2016-09-20,20.6,Splash Mountain
2016-09-21,28.0,Splash Mountain
2016-09-22,29.0,Splash Mountain
2016-09-23,21.0,Splash Mountain
2016-09-24,18.25,Splash Mountain
2016-09-25,34.0,Splash Mountain
2016-09-26,,Splash Mountain
2016-09-27,9.0,Splash Mountain
2016-09-28,18.0,Splash Mountain
2016-09-29,4.0,Splash Mountain
2016-09-30,35.0,Splash Mountain
2016-10-01,23.5,Splash Mountain
2016-10-02,20.833333333333332,Splash Mountain
2016-10-03,0.6666666666666666,Splash Mountain
2016-10-04,8.666666666666666,Splash Mountain
2016-10-05,,Splash Mountain
2016-10-06,5.5,Splash Mountain
2016-10-07,,Splash Mountain
2016-10-08,11.5,Splash Mountain
2016-10-09,29.5,Splash Mountain
2016-10-10,16.0,Splash Mountain
2016-10-11,12.0,Splash Mountain
2016-10-12,47.0,Splash Mountain
2016-10-13,24.0,Splash Mountain
2016-10-14,25.666666666666668,Splash Mountain
2016-10-15,,Splash Mountain
2016-10-16,15.0,Splash Mountain
2016-10-17,12.0,Splash Mountain
2016-10-18,23.5,Splash Mountain
2016-10-19,28.75,Splash Mountain
2016-10-20,7.0,Splash Mountain
2016-10-21,42.666666666666664,Splash Mountain
2016-10-22,13.666666666666666,Splash Mountain
2016-10-23,20.5,Splash Mountain
2016-10-24,11.0,Splash Mountain
2016-10-25,4.5,Splash Mountain
2016-10-26,,Splash Mountain
2016-10-27,,Splash Mountain
2016-10-28,2.5,Splash Mountain
2016-10-29,14.8,Splash Mountain
2016-10-30,8.8,Splash Mountain
2016-10-31,,Splash Mountain
2016-11-01,,Splash Mountain
2016-11-02,,Splash Mountain
2016-11-03,,Splash Mountain
2016-11-04,15.0,Splash Mountain
2016-11-05,11.0,Splash Mountain
2016-11-06,2.0,Splash Mountain
2016-11-07,6.0,Splash Mountain
2016-11-08,25.4,Splash Mountain
2016-11-09,36.0,Splash Mountain
2016-11-10,21.0,Splash Mountain
2016-11-11,16.8,Splash Mountain
2016-11-12,59.5,Splash Mountain
2016-11-13,35.0,Splash Mountain
2016-11-14,,Splash Mountain
2016-11-15,2.0,Splash Mountain
2016-11-16,6.0,Splash Mountain
2016-11-17,5.0,Splash Mountain
2016-11-18,9.0,Splash Mountain
2016-11-19,19.8,Splash Mountain
2016-11-20,35.0,Splash Mountain
2016-11-21,4.0,Splash Mountain
2016-11-22,12.0,Splash Mountain
2016-11-23,30.0,Splash Mountain
2016-11-24,22.75,Splash Mountain
2016-11-25,49.0,Splash Mountain
2016-11-26,15.0,Splash Mountain
2016-11-27,19.5,Splash Mountain
2016-11-28,,Splash Mountain
2016-11-29,9.0,Splash Mountain
2016-11-30,6.5,Splash Mountain
2016-12-01,16.333333333333332,Splash Mountain
2016-12-02,,Splash Mountain
2016-12-03,17.5,Splash Mountain
2016-12-04,21.5,Splash Mountain
2016-12-05,21.0,Splash Mountain
2016-12-06,20.4,Splash Mountain
2016-12-07,,Splash Mountain
2016-12-08,11.0,Splash Mountain
2016-12-09,3.0,Splash Mountain
2016-12-10,33.0,Splash Mountain
2016-12-11,12.0,Splash Mountain
2016-12-12,,Splash Mountain
2016-12-13,13.333333333333334,Splash Mountain
2016-12-14,13.333333333333334,Splash Mountain
2016-12-15,10.5,Splash Mountain
2016-12-16,20.0,Splash Mountain
2016-12-17,2.25,Splash Mountain
2016-12-18,30.6,Splash Mountain
2016-12-19,,Splash Mountain
2016-12-20,10.0,Splash Mountain
2016-12-21,,Splash Mountain
2016-12-22,2.0,Splash Mountain
2016-12-23,14.5,Splash Mountain
2016-12-24,56.0,Splash Mountain
2016-12-25,,Splash Mountain
2016-12-26,24.0,Splash Mountain
2016-12-27,15.5,Splash Mountain
2016-12-28,,Splash Mountain
