date,SACTMIN,Ride
2015-05-18,24.333333333333332,Rock N Rollercoaster
2015-05-19,24.2,Rock N Rollercoaster
2015-05-20,18.0,Rock N Rollercoaster
2015-05-21,19.5,Rock N Rollercoaster
2015-05-22,46.0,Rock N Rollercoaster
2015-05-23,43.0,Rock N Rollercoaster
2015-05-24,,Rock N Rollercoaster
2015-05-25,23.75,Rock N Rollercoaster
2015-05-26,,Rock N Rollercoaster
2015-05-27,24.25,Rock N Rollercoaster
2015-05-28,30.714285714285715,Rock N Rollercoaster
2015-05-29,,Rock N Rollercoaster
2015-05-30,,Rock N Rollercoaster
2015-05-31,,Rock N Rollercoaster
2015-06-01,20.5,Rock N Rollercoaster
2015-06-02,37.0,Rock N Rollercoaster
2015-06-03,16.0,Rock N Rollercoaster
2015-06-04,37.25,Rock N Rollercoaster
2015-06-05,27.0,Rock N Rollercoaster
2015-06-06,18.5,Rock N Rollercoaster
2015-06-07,23.0,Rock N Rollercoaster
2015-06-08,52.333333333333336,Rock N Rollercoaster
2015-06-09,45.142857142857146,Rock N Rollercoaster
2015-06-10,20.833333333333332,Rock N Rollercoaster
2015-06-11,25.666666666666668,Rock N Rollercoaster
2015-06-12,44.0,Rock N Rollercoaster
2015-06-13,27.875,Rock N Rollercoaster
2015-06-14,27.0,Rock N Rollercoaster
2015-06-15,27.6,Rock N Rollercoaster
2015-06-16,29.0,Rock N Rollercoaster
2015-06-17,69.0,Rock N Rollercoaster
2015-06-18,47.0,Rock N Rollercoaster
2015-06-19,35.0,Rock N Rollercoaster
2015-06-20,25.571428571428573,Rock N Rollercoaster
2015-06-21,27.0,Rock N Rollercoaster
2015-06-22,16.8,Rock N Rollercoaster
2015-06-23,39.333333333333336,Rock N Rollercoaster
2015-06-24,35.0,Rock N Rollercoaster
2015-06-25,12.0,Rock N Rollercoaster
2015-06-26,,Rock N Rollercoaster
2015-06-27,24.0,Rock N Rollercoaster
2015-06-28,21.0,Rock N Rollercoaster
2015-06-29,17.0,Rock N Rollercoaster
2015-06-30,21.333333333333332,Rock N Rollercoaster
2015-07-01,,Rock N Rollercoaster
2015-07-02,,Rock N Rollercoaster
2015-07-03,35.0,Rock N Rollercoaster
2015-07-04,12.0,Rock N Rollercoaster
2015-07-05,17.0,Rock N Rollercoaster
2015-07-06,,Rock N Rollercoaster
2015-07-07,24.0,Rock N Rollercoaster
2015-07-08,22.0,Rock N Rollercoaster
2015-07-09,32.666666666666664,Rock N Rollercoaster
2015-07-10,25.0,Rock N Rollercoaster
2015-07-11,,Rock N Rollercoaster
2015-07-12,,Rock N Rollercoaster
2015-07-13,,Rock N Rollercoaster
2015-07-14,9.0,Rock N Rollercoaster
2015-07-15,8.0,Rock N Rollercoaster
2015-07-16,55.5,Rock N Rollercoaster
2015-07-17,,Rock N Rollercoaster
2015-07-18,18.0,Rock N Rollercoaster
2015-07-19,40.75,Rock N Rollercoaster
2015-07-20,21.5,Rock N Rollercoaster
2015-07-21,,Rock N Rollercoaster
2015-07-22,12.0,Rock N Rollercoaster
2015-07-23,,Rock N Rollercoaster
2015-07-24,33.0,Rock N Rollercoaster
2015-07-25,28.0,Rock N Rollercoaster
2015-07-26,27.0,Rock N Rollercoaster
2015-07-27,21.5,Rock N Rollercoaster
2015-07-28,59.5,Rock N Rollercoaster
2015-07-29,,Rock N Rollercoaster
2015-07-30,,Rock N Rollercoaster
2015-07-31,65.0,Rock N Rollercoaster
