date,SACTMIN,Ride
2015-07-26,36.0,Soarin
2015-07-27,38.5,Soarin
2015-07-28,,Soarin
2015-07-29,,Soarin
2015-07-30,84.0,Soarin
2015-07-31,17.0,Soarin
2015-08-01,,Soarin
2015-08-02,25.0,Soarin
2015-08-03,33.666666666666664,Soarin
2015-08-04,15.0,Soarin
2015-08-05,,Soarin
2015-08-06,30.0,Soarin
2015-08-07,13.666666666666666,Soarin
2015-08-08,,Soarin
2015-08-09,25.5,Soarin
2015-08-10,,Soarin
2015-08-11,10.5,Soarin
2015-08-12,20.5,Soarin
2015-08-13,12.333333333333334,Soarin
2015-08-14,,Soarin
2015-08-15,34.333333333333336,Soarin
2015-08-16,29.0,Soarin
2015-08-17,62.0,Soarin
2015-08-18,23.333333333333332,Soarin
2015-08-19,29.0,Soarin
2015-08-20,,Soarin
2015-08-21,20.0,Soarin
2015-08-22,,Soarin
2015-08-23,32.0,Soarin
2015-08-24,,Soarin
2015-08-25,22.666666666666668,Soarin
2015-08-26,30.0,Soarin
2015-08-27,27.666666666666668,Soarin
2015-08-28,18.0,Soarin
2015-08-29,23.0,Soarin
2015-08-30,21.5,Soarin
2015-08-31,15.8,Soarin
2015-09-01,16.6,Soarin
2015-09-02,10.0,Soarin
2015-09-03,16.0,Soarin
2015-09-04,20.833333333333332,Soarin
2015-09-05,47.0,Soarin
2015-09-06,16.0,Soarin
2015-09-07,48.0,Soarin
2015-09-08,23.666666666666668,Soarin
2015-09-09,14.0,Soarin
2015-09-10,14.333333333333334,Soarin
2015-09-11,18.166666666666668,Soarin
2015-09-12,24.0,Soarin
2015-09-13,10.0,Soarin
2015-09-14,22.5,Soarin
2015-09-15,12.0,Soarin
2015-09-16,20.0,Soarin
2015-09-17,26.0,Soarin
2015-09-18,13.333333333333334,Soarin
2015-09-19,19.0,Soarin
2015-09-20,40.0,Soarin
2015-09-21,17.333333333333332,Soarin
2015-09-22,22.666666666666668,Soarin
2015-09-23,30.333333333333332,Soarin
2015-09-24,34.0,Soarin
2015-09-25,25.4,Soarin
2015-09-26,25.5,Soarin
2015-09-27,46.0,Soarin
2015-09-28,38.0,Soarin
2015-09-29,17.333333333333332,Soarin
2015-09-30,11.125,Soarin
2015-10-01,13.5,Soarin
2015-10-02,25.923076923076923,Soarin
2015-10-03,23.333333333333332,Soarin
2015-10-04,28.666666666666668,Soarin
2015-10-05,28.666666666666668,Soarin
2015-10-06,22.333333333333332,Soarin
2015-10-07,,Soarin
2015-10-08,50.0,Soarin
2015-10-09,,Soarin
2015-10-10,46.333333333333336,Soarin
2015-10-11,38.0,Soarin
2015-10-12,43.0,Soarin
2015-10-13,30.5,Soarin
2015-10-14,44.5,Soarin
2015-10-15,58.0,Soarin
2015-10-16,47.0,Soarin
2015-10-17,,Soarin
2015-10-18,48.0,Soarin
2015-10-19,53.333333333333336,Soarin
2015-10-20,,Soarin
2015-10-21,10.666666666666666,Soarin
2015-10-22,53.0,Soarin
2015-10-23,23.4,Soarin
2015-10-24,46.0,Soarin
2015-10-25,27.5,Soarin
2015-10-26,43.5,Soarin
2015-10-27,27.0,Soarin
2015-10-28,14.0,Soarin
2015-10-29,17.333333333333332,Soarin
2015-10-30,16.0,Soarin
2015-10-31,,Soarin
2015-11-01,34.0,Soarin
2015-11-02,12.5,Soarin
2015-11-03,29.0,Soarin
2015-11-04,,Soarin
2015-11-05,27.0,Soarin
2015-11-06,58.0,Soarin
2015-11-07,24.0,Soarin
2015-11-08,34.0,Soarin
2015-11-09,,Soarin
2015-11-10,,Soarin
2015-11-11,56.4,Soarin
2015-11-12,19.5,Soarin
2015-11-13,58.5,Soarin
2015-11-14,26.0,Soarin
2015-11-15,25.666666666666668,Soarin
2015-11-16,45.0,Soarin
2015-11-17,17.6,Soarin
2015-11-18,35.25,Soarin
2015-11-19,16.0,Soarin
2015-11-20,42.5,Soarin
2015-11-21,20.75,Soarin
2015-11-22,127.0,Soarin
2015-11-23,25.5,Soarin
2015-11-24,,Soarin
2015-11-25,,Soarin
2015-11-26,50.666666666666664,Soarin
2015-11-27,,Soarin
2015-11-28,9.0,Soarin
2015-11-29,25.0,Soarin
2015-11-30,27.0,Soarin
2015-12-01,,Soarin
2015-12-02,44.0,Soarin
2015-12-03,28.2,Soarin
2015-12-04,,Soarin
2015-12-05,25.0,Soarin
2015-12-06,22.0,Soarin
2015-12-07,22.0,Soarin
2015-12-08,17.5,Soarin
2015-12-09,23.0,Soarin
2015-12-10,30.75,Soarin
2015-12-11,15.0,Soarin
2015-12-12,,Soarin
2015-12-13,28.5,Soarin
2015-12-14,31.0,Soarin
2015-12-15,35.0,Soarin
2015-12-16,37.666666666666664,Soarin
2015-12-17,22.5,Soarin
2015-12-18,,Soarin
2015-12-19,45.0,Soarin
2015-12-20,,Soarin
2015-12-21,,Soarin
2015-12-22,,Soarin
2015-12-23,116.0,Soarin
2015-12-24,,Soarin
2015-12-25,,Soarin
2015-12-26,17.0,Soarin
2015-12-27,34.0,Soarin
2015-12-28,11.0,Soarin
2015-12-29,33.5,Soarin
2015-12-30,13.0,Soarin
2015-12-31,37.0,Soarin
2016-01-01,12.333333333333334,Soarin
2016-01-02,,Soarin
2016-01-03,17.0,Soarin
2016-01-04,,Soarin
2016-01-05,,Soarin
2016-01-06,,Soarin
2016-01-07,,Soarin
2016-01-08,,Soarin
2016-01-09,,Soarin
2016-01-10,,Soarin
2016-01-11,,Soarin
2016-01-12,,Soarin
2016-01-13,,Soarin
2016-01-14,,Soarin
2016-01-15,,Soarin
2016-01-16,,Soarin
2016-01-17,,Soarin
2016-01-18,,Soarin
2016-01-19,,Soarin
