date,SACTMIN,WDW_TICKET_SEASON,SEASON,HOLIDAYPX,HOLIDAYM,HOLIDAY,WDWTICKETSEASON,WDWevent,WDWrace,WDWSEASON,WDWMAXTEMP,WDWMINTEMP,WDWMEANTEMP,MKevent,EPevent,HSevent,AKeventN,AKevent,inSession,inSession_Enrollment,inSession_wdw,inSession_dlr,inSession_sqrt_WDW,inSession_sqrt_DLR,inSession_California,inSession_DC,inSession_Central_FL,inSession_Drive1_FL,inSession_Drive2_FL,inSession_Drive_CA,inSession_Florida,inSession_Mardi_Gras,inSession_Midwest,inSession_NY_NJ,inSession_NY_NJ_PA,inSession_New_England,inSession_New_Jersey,inSession_Nothwest,INSESSION_PLANES,inSession_Southwest,SUNSET_WDW,MKEMHMORN,MKEMHEVE,MKHOURSEMH,EPEMHMORN,EPEMHEVE,EPHOURSEMH,HSEMHMORN,HSEMHEVE,HSHOURSEMH,AKEMHMORN,AKEMHEVE,AKHOURSEMH,MKOPEN,MKCLOSE,MKHOURS,MKEMHOPEN,MKEMHCLOSE,EPOPEN,EPCLOSE,EPHOURS,EPEMHOPEN,EPEMHCLOSE,HSOPEN,HSCLOSE,HSHOURS,HSEMHOPEN,HSEMHCLOSE,AKOPEN,AKCLOSE,AKHOURS,AKEMHOPEN,AKEMHCLOSE,MKDAYSBEFORENONEVENT,MKDAYSSINCENONEVENT,MKEVENTSTREAK,MKEVENTSTREAK_F,PARTYSEASON_WDW,WDWMINTEMP_mean,WEATHER_WDWHIGH,WEATHER_WDWLOW,WEATHER_WDWPRECIP,CapacityLost_MK,CapacityLost_EP,CapacityLost_HS,CapacityLost_AK,CapacityLostWGT_MK,CapacityLostWGT_EP,CapacityLostWGT_HS,CapacityLostWGT_AK,EP09CAPACITY,HS20CAPACITY,MKPRDDAY,MKPRDDT1,MKPRDDT2,MKPRDNGT,MKPRDNT1,MKPRDNT2,MKFIREWK,MKFIRET1,MKFIRET2,EPFIREWK,EPFIRET1,EPFIRET2,HSFIREWK,HSFIRET1,HSFIRET2,HSSHWNGT,HSSHWNT1,HSSHWNT2,AKSHWNGT,AKSHWNT1,AKSHWNT2
2015-01-01,41.2,,CHRISTMAS PEAK,0,5,1,,0,0,CHRISTMAS PEAK,73.02,59.81,66.41,0,0,0,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17:42,1,0,18.0,0,0,13.0,0,0,14.0,0,0,11.0,8:00,1:00,17.0,7:00,,8:00,21:00,13.0,,,8:00,22:00,14.0,,,8:00,19:00,11.0,,,1,1,0,0,NONE,52.65,70.3,50.2,0.12,352865,325168,213779,210779,34661635,31692832,20802421,20790321,1600,1000,2,12:00,15:30,1,22:15,,1,21:00,,1,21:00,,0,,,3,18:30,20:00,0,,
2015-01-02,26.0,,CHRISTMAS,2,5,0,,0,0,CHRISTMAS,78.0,60.72,69.36,0,0,0,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17:43,0,0,17.0,0,1,15.0,0,0,14.0,0,0,12.0,8:00,1:00,17.0,,,8:00,21:00,13.0,,23:00,8:00,22:00,14.0,,,8:00,20:00,12.0,,,1,1,0,0,NONE,52.25933333,70.3,50.0,0.12,352865,325168,213779,210779,34661635,31692832,20802421,20790321,1600,1000,2,12:00,15:30,1,22:15,,1,21:00,,1,21:00,,0,,,3,18:30,20:00,0,,
2015-01-03,30.0,,CHRISTMAS,3,0,0,,0,0,CHRISTMAS,83.12,67.31,75.22,0,0,0,,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17:44,0,0,16.0,0,0,12.0,1,0,14.0,0,0,11.0,9:00,1:00,16.0,,,9:00,21:00,12.0,,,9:00,22:00,13.0,8:00,,8:00,19:00,11.0,,,1,1,0,0,NONE,48.12066667,70.3,49.9,0.07,352865,325168,213779,210779,34661635,31692832,20802421,20790321,1600,1000,2,12:00,15:30,1,22:15,,1,21:00,,1,21:00,,0,,,2,18:30,20:00,0,,
2015-01-05,21.0,,CHRISTMAS,5,0,0,,0,0,CHRISTMAS,72.3,56.89,64.6,0,0,0,,0,67%,74%,77%,74%,74%,70%,66%,94%,68%,57%,56%,70%,79%,43%,93%,100%,100%,100%,100%,100%,48%,84%,17:45,0,0,14.0,0,0,12.0,0,1,13.0,0,0,8.0,9:00,23:00,14.0,,,9:00,21:00,12.0,,,9:00,20:00,11.0,,22:00,9:00,17:00,8.0,,,1,1,0,0,NONE,48.39928571,70.3,49.6,0.12,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-06,11.0,,CHRISTMAS,6,0,0,,0,0,CHRISTMAS,77.67,54.88,66.28,0,0,0,,0,86%,92%,98%,77%,96%,82%,69%,94%,100%,98%,98%,76%,100%,96%,93%,100%,100%,83%,100%,100%,92%,93%,17:46,0,0,12.0,1,0,13.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,,,9:00,21:00,12.0,8:00,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,50.07666667,70.2,49.5,0.12,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,0,,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-07,36.0,,CHRISTMAS,7,0,0,,0,1,CHRISTMAS,67.24,48.56,57.9,0,0,0,,0,88%,94%,99%,78%,97%,83%,69%,94%,100%,100%,100%,76%,100%,100%,93%,100%,100%,100%,100%,100%,100%,93%,17:47,0,0,12.0,0,0,12.0,0,0,10.0,1,0,9.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,8:00,,1,1,0,0,NONE,48.03533333,70.3,49.5,0.12,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,0,,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-08,29.666666666666668,,CHRISTMAS,8,0,0,,0,1,CHRISTMAS,59.44,38.7,49.07,0,0,0,,0,88%,94%,99%,78%,97%,83%,69%,94%,100%,100%,100%,76%,100%,100%,93%,100%,100%,100%,100%,100%,100%,93%,17:47,1,0,13.0,0,0,12.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,8:00,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,49.512,70.3,49.4,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,19:00,21:00,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-09,42.0,,CHRISTMAS,9,0,0,,0,1,CHRISTMAS,54.89,45.37,50.13,0,0,0,,0,88%,94%,99%,78%,97%,83%,69%,94%,100%,100%,100%,76%,100%,100%,93%,100%,100%,100%,100%,100%,100%,93%,17:48,0,0,12.0,0,1,14.0,0,0,10.0,0,0,9.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,23:00,9:00,19:00,10.0,,,9:00,18:00,9.0,,,1,1,0,0,NONE,51.09428571,70.3,49.3,0.11,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,1,19:00,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-10,40.333333333333336,,WINTER,10,0,0,,0,1,WINTER,67.16,44.46,55.81,0,0,0,,0,88%,94%,99%,78%,97%,83%,69%,94%,100%,100%,100%,76%,100%,100%,93%,100%,100%,100%,100%,100%,100%,93%,17:49,0,1,16.0,0,0,12.0,1,0,12.0,0,0,11.0,9:00,23:00,14.0,,1:00,9:00,21:00,12.0,,,9:00,20:00,11.0,8:00,,9:00,20:00,11.0,,,1,1,0,0,NONE,53.42571429,70.3,49.3,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-11,11.4,,WINTER,9,0,0,,0,1,WINTER,77.1,53.14,65.12,0,0,0,,0,94%,97%,100%,90%,99%,93%,85%,94%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,17:50,0,1,14.0,0,0,12.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,,23:00,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,54.35,70.3,49.2,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,1,20:00,,1,21:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-12,18.333333333333332,,WINTER,8,0,0,,0,0,WINTER,78.24,62.86,70.55,0,0,0,,0,94%,97%,100%,90%,99%,93%,85%,94%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,17:50,0,0,12.0,0,0,12.0,0,1,13.0,1,0,9.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,,9:00,20:00,11.0,,22:00,9:00,17:00,8.0,8:00,,1,1,0,0,NONE,52.59142857,70.4,49.2,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,0,,,1,20:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-13,34.25,,WINTER,7,0,0,,0,0,WINTER,74.89,61.98,68.44,0,0,0,,0,94%,97%,100%,90%,99%,93%,85%,94%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,17:51,0,0,11.0,1,0,13.0,0,0,10.0,0,0,8.0,9:00,20:00,11.0,,,9:00,21:00,12.0,8:00,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,49.76357143,70.4,49.2,0.12,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,1,19:00,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-15,34.0,,MARTIN LUTHER KING JUNIOR DAY,5,0,0,,0,0,MARTIN LUTHER KING JUNIOR DAY,62.12,52.83,57.47,0,0,0,,0,92%,94%,95%,90%,94%,91%,85%,94%,100%,85%,88%,90%,78%,100%,100%,100%,100%,100%,100%,100%,97%,100%,17:53,1,0,13.0,0,0,12.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,8:00,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,49.06857143,70.5,49.3,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,0,,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-16,28.666666666666668,,MARTIN LUTHER KING JUNIOR DAY,4,0,0,,0,0,MARTIN LUTHER KING JUNIOR DAY,63.58,50.65,57.11,0,0,0,,0,89%,91%,68%,89%,83%,89%,85%,94%,79%,70%,77%,90%,61%,100%,98%,100%,100%,100%,100%,100%,96%,100%,17:53,0,0,15.0,0,1,14.0,0,0,10.0,0,0,8.0,9:00,0:00,15.0,,,9:00,21:00,12.0,,23:00,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,50.66857143,70.5,49.3,0.07,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,21:00,23:00,1,22:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-17,20.5,,MARTIN LUTHER KING JUNIOR DAY,3,2,0,,0,0,MARTIN LUTHER KING JUNIOR DAY,72.83,48.54,60.69,0,0,0,,0,89%,91%,68%,89%,83%,89%,85%,94%,79%,70%,77%,90%,61%,100%,98%,100%,100%,100%,100%,100%,96%,100%,17:54,0,0,16.0,0,0,12.0,1,0,13.0,0,0,10.0,9:00,1:00,16.0,,,9:00,21:00,12.0,,,9:00,21:00,12.0,8:00,,9:00,19:00,10.0,,,1,1,0,0,NONE,49.40357143,70.6,49.4,0.04,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,21:00,23:00,1,22:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-18,47.0,,MARTIN LUTHER KING JUNIOR DAY,2,2,0,,0,0,MARTIN LUTHER KING JUNIOR DAY,70.59,55.12,62.86,0,0,0,,0,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,17:55,0,0,16.0,0,0,12.0,0,0,12.0,1,0,12.0,9:00,1:00,16.0,,,9:00,21:00,12.0,,,9:00,21:00,12.0,,,9:00,20:00,11.0,8:00,,1,1,0,0,NONE,48.07285714,70.7,49.4,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,21:00,23:00,1,22:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-19,26.333333333333332,,MARTIN LUTHER KING JUNIOR DAY,0,0,1,,0,0,MARTIN LUTHER KING JUNIOR DAY,69.89,46.86,58.38,0,0,0,,0,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,17:56,0,0,14.0,0,0,12.0,0,1,13.0,0,0,11.0,9:00,23:00,14.0,,,9:00,21:00,12.0,,,9:00,20:00,11.0,,22:00,9:00,20:00,11.0,,,1,1,0,0,NONE,47.21642857,70.7,49.5,0.08,354065,325168,233777,210779,34671235,31692832,22782223,20790321,1600,1000,1,15:00,,2,21:00,23:00,1,22:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-20,72.0,,MARTIN LUTHER KING JUNIOR DAY,2,2,0,,0,0,MARTIN LUTHER KING JUNIOR DAY,71.03,49.38,60.21,0,0,0,,0,92%,92%,87%,91%,88%,91%,90%,94%,77%,77%,77%,93%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,17:57,0,0,13.0,1,0,13.0,0,0,10.0,0,0,8.0,9:00,22:00,13.0,,,9:00,21:00,12.0,8:00,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,48.94928571,70.8,49.6,0.12,354065,325168,233777,212579,34671235,31692832,22782223,20802921,1600,1000,1,15:00,,2,19:00,21:00,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-22,32.75,,MARTIN LUTHER KING JUNIOR DAY,4,2,0,,0,0,MARTIN LUTHER KING JUNIOR DAY,77.09,55.15,66.12,0,0,0,,0,95%,98%,100%,91%,99%,94%,90%,94%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,17:58,1,0,13.0,0,0,12.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,8:00,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,53.92285714,70.9,49.8,0.08,354065,325168,233777,212579,34671235,31692832,22782223,20802921,1600,1000,1,15:00,,2,19:00,21:00,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-23,29.666666666666668,,MARTIN LUTHER KING JUNIOR DAY,5,0,0,,0,0,MARTIN LUTHER KING JUNIOR DAY,78.4,61.83,70.12,0,0,0,,0,93%,96%,99%,91%,98%,93%,90%,88%,100%,100%,100%,93%,100%,100%,93%,100%,100%,100%,100%,100%,100%,96%,17:59,0,0,12.0,0,1,14.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,23:00,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,51.78642857,71.0,49.9,0.08,354865,325168,233777,212579,34674435,31692832,22782223,20802921,1600,1000,1,15:00,,2,19:00,21:00,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-24,6.0,,WINTER,6,0,0,,0,0,WINTER,70.77,49.34,60.06,0,0,0,,0,93%,96%,99%,91%,98%,93%,90%,88%,100%,100%,100%,93%,100%,100%,93%,100%,100%,100%,100%,100%,100%,96%,18:00,0,1,17.0,0,0,12.0,1,0,12.0,0,0,10.0,9:00,0:00,15.0,,2:00,9:00,21:00,12.0,,,9:00,20:00,11.0,8:00,,9:00,19:00,10.0,,,1,1,0,0,NONE,50.58071429,71.1,50.0,0.07,354865,325168,233777,212579,34674435,31692832,22782223,20802921,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-25,13.666666666666666,,WINTER,7,0,0,,0,0,WINTER,63.48,43.57,53.53,0,0,0,,0,90%,92%,93%,91%,92%,91%,85%,69%,90%,96%,94%,90%,95%,100%,100%,97%,97%,100%,0%,100%,100%,93%,18:01,0,0,12.0,0,0,12.0,0,1,13.0,0,0,10.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,,9:00,20:00,11.0,,22:00,9:00,19:00,10.0,,,1,1,0,0,NONE,48.90142857,71.1,50.2,0.08,354865,325168,233777,212579,34674435,31692832,22782223,20802921,1600,1000,1,15:00,,1,20:00,,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-26,20.1,,WINTER,7,0,0,,0,0,WINTER,65.48,52.51,59.0,0,0,0,,0,90%,92%,93%,91%,92%,91%,85%,69%,90%,96%,94%,90%,95%,100%,100%,97%,97%,100%,0%,100%,100%,93%,18:01,0,0,13.0,0,0,12.0,0,0,9.0,1,0,9.0,9:00,22:00,13.0,,,9:00,21:00,12.0,,,9:00,18:00,9.0,,,9:00,17:00,8.0,8:00,,1,1,0,0,NONE,51.11,71.2,50.3,0.08,354865,325168,233777,212579,34674435,31692832,22782223,20802921,1600,1000,1,15:00,,0,,,1,20:00,,1,21:00,,0,,,0,,,0,,
2015-01-27,12.0,,WINTER,6,0,0,,0,0,WINTER,66.78,43.56,55.17,0,0,0,,0,94%,96%,99%,74%,98%,89%,81%,94%,100%,100%,100%,87%,100%,100%,100%,100%,100%,100%,100%,100%,100%,93%,18:02,0,0,12.0,1,0,13.0,0,0,11.0,0,0,8.0,9:00,21:00,12.0,,,9:00,21:00,12.0,8:00,,9:00,20:00,11.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,53.44571429,71.3,50.5,0.08,354865,325168,233777,212579,34674435,31692832,22782223,20802921,1600,1000,1,15:00,,1,19:00,,1,20:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-01-28,16.0,,WINTER,5,0,0,,0,0,WINTER,61.13,45.75,53.44,0,0,0,,0,94%,97%,99%,74%,98%,89%,86%,94%,100%,100%,100%,91%,100%,100%,95%,100%,100%,100%,100%,100%,100%,100%,18:03,0,0,11.0,0,0,12.0,0,0,10.0,1,0,9.0,9:00,20:00,11.0,,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,8:00,,1,1,0,0,NONE,52.415,71.4,50.6,0.08,354065,325168,233777,212579,34671235,31692832,22782223,20802921,1600,1000,1,15:00,,0,,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-30,64.0,,WINTER,3,2,0,,0,0,WINTER,71.89,47.38,59.64,0,0,0,,0,91%,95%,99%,63%,97%,84%,82%,78%,100%,100%,100%,88%,100%,100%,100%,100%,100%,100%,100%,60%,100%,100%,18:04,0,0,12.0,0,1,14.0,0,0,10.0,0,0,8.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,23:00,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,48.95857143,71.5,50.9,0.04,354065,325168,233777,212579,34671235,31692832,22782223,20802921,1600,1000,1,15:00,,2,19:00,21:00,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-01-31,23.0,,WINTER,2,2,0,,0,0,WINTER,69.8,48.04,58.92,0,0,0,,0,91%,95%,99%,63%,97%,84%,82%,78%,100%,100%,100%,88%,100%,100%,100%,100%,100%,100%,100%,60%,100%,100%,18:05,0,1,18.0,0,0,12.0,1,0,12.0,0,0,11.0,8:00,0:00,16.0,,2:00,9:00,21:00,12.0,,,9:00,20:00,11.0,8:00,,8:00,19:00,11.0,,,1,1,0,0,NONE,49.18285714,71.6,51.1,0.08,354065,325168,233777,212579,34671235,31692832,22782223,20802921,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-02-01,39.666666666666664,,WINTER,0,0,1,,0,0,WINTER,73.34,48.7,61.02,0,0,0,,0,93%,97%,99%,91%,98%,93%,90%,94%,100%,100%,100%,93%,100%,100%,86%,100%,100%,100%,100%,100%,100%,100%,18:06,0,0,13.0,0,0,12.0,0,0,10.0,1,0,12.0,9:00,22:00,13.0,,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,20:00,11.0,8:00,,1,1,0,0,NONE,50.94642857,71.7,51.3,0.04,352865,325168,233777,212579,34661635,31692832,22782223,20802921,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,1,19:00,,0,,
2015-02-02,86.0,,WINTER,2,2,0,,0,0,WINTER,75.02,53.51,64.27,0,0,0,,0,93%,97%,99%,91%,98%,93%,90%,94%,100%,100%,100%,93%,100%,100%,86%,100%,100%,100%,100%,100%,100%,100%,18:07,0,0,13.0,0,0,12.0,0,1,13.0,0,0,9.0,9:00,22:00,13.0,,,9:00,21:00,12.0,,,9:00,20:00,11.0,,22:00,9:00,18:00,9.0,,,1,1,0,0,NONE,55.46,71.8,51.4,0.08,355065,325168,233777,212579,34679235,31692832,22782223,20802921,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-02-03,20.0,,WINTER,3,0,0,,0,0,WINTER,66.33,44.24,55.29,0,0,0,,0,95%,98%,100%,91%,99%,94%,90%,94%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,18:08,0,0,12.0,1,0,13.0,0,0,10.0,0,0,9.0,9:00,21:00,12.0,,,9:00,21:00,12.0,8:00,,9:00,19:00,10.0,,,9:00,18:00,9.0,,,1,1,0,0,NONE,55.14857143,71.9,51.6,0.04,355065,325168,233777,212579,34679235,31692832,22782223,20802921,1600,1000,1,15:00,,1,19:00,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-02-04,9.0,,WINTER,4,0,0,,0,0,WINTER,73.02,53.63,63.33,0,0,0,,0,95%,98%,100%,91%,99%,94%,90%,94%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,18:08,0,0,12.0,0,0,12.0,0,0,10.0,1,0,10.0,9:00,21:00,12.0,,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,18:00,9.0,8:00,,1,1,0,0,NONE,54.27571429,72.0,51.8,0.04,355065,325168,233777,212579,34679235,31692832,22782223,20802921,1600,1000,1,15:00,,1,19:00,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-02-05,12.0,,WINTER,5,0,0,,0,0,WINTER,65.22,51.8,58.51,0,0,0,,0,94%,97%,100%,91%,98%,93%,90%,94%,100%,100%,100%,93%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,18:09,1,0,13.0,0,0,12.0,0,0,10.0,0,0,9.0,9:00,21:00,12.0,8:00,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,18:00,9.0,,,1,1,0,0,NONE,52.48071429,72.1,52.0,0.04,355065,325168,233777,212579,34679235,31692832,22782223,20802921,1600,1000,1,15:00,,1,19:00,,1,20:00,,1,21:00,,0,,,1,19:00,,0,,
2015-02-06,37.5,,WINTER,6,0,0,,0,0,WINTER,66.33,50.3,58.32,0,0,0,,0,91%,93%,91%,90%,92%,91%,90%,81%,77%,92%,93%,93%,88%,94%,90%,100%,100%,100%,100%,100%,95%,100%,18:10,0,0,14.0,0,1,14.0,0,0,10.0,0,0,9.0,9:00,23:00,14.0,,,9:00,21:00,12.0,,23:00,9:00,19:00,10.0,,,9:00,18:00,9.0,,,1,1,0,0,NONE,52.34071429,72.2,52.1,0.04,355065,325168,233777,212579,34679235,31692832,22782223,20802921,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,1,19:00,,0,,
2015-02-07,7.6,,WINTER,7,0,0,,0,0,WINTER,71.78,48.31,60.05,0,0,0,,0,91%,93%,91%,90%,92%,91%,90%,81%,77%,92%,93%,93%,88%,94%,90%,100%,100%,100%,100%,100%,95%,100%,18:11,0,1,18.0,0,0,12.0,1,0,12.0,0,0,11.0,8:00,0:00,16.0,,2:00,9:00,21:00,12.0,,,9:00,20:00,11.0,8:00,,9:00,20:00,11.0,,,1,1,0,0,NONE,53.99285714,72.2,52.3,0.03,355065,325168,233777,212579,34679235,31692832,22782223,20802921,1600,1000,1,15:00,,2,21:00,23:00,1,22:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-02-09,15.0,,WINTER,6,0,0,,0,0,WINTER,70.42,55.13,62.78,0,0,0,,0,82%,94%,99%,79%,97%,85%,69%,91%,100%,100%,100%,79%,100%,100%,90%,97%,97%,100%,0%,100%,100%,100%,18:12,0,0,13.0,0,0,12.0,0,1,13.0,0,0,8.0,9:00,22:00,13.0,,,9:00,21:00,12.0,,,9:00,20:00,11.0,,22:00,9:00,17:00,8.0,,,1,1,0,0,NONE,53.24071429,72.4,52.6,0.08,355065,325168,233777,212579,34679235,31692832,22782223,20802921,1600,1000,1,15:00,,1,22:00,,1,21:00,,1,21:00,,0,,,2,19:00,20:30,0,,
2015-02-10,32.0,,WINTER,5,0,0,,0,0,WINTER,64.23,54.03,59.13,0,0,0,,0,94%,97%,99%,91%,98%,94%,90%,91%,100%,100%,100%,93%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,18:13,0,0,14.0,1,0,13.0,0,0,10.0,0,0,8.0,9:00,23:00,14.0,,,9:00,21:00,12.0,8:00,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,52.02928571,72.5,52.8,0.12,365064,325168,233777,210779,35669136,31692832,22782223,20790321,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,1,19:00,,0,,
2015-02-12,33.5,,PRESIDENTS WEEK,3,0,0,,0,0,PRESIDENTS WEEK,71.39,45.08,58.24,0,0,0,,0,93%,98%,99%,99%,98%,98%,99%,91%,100%,98%,98%,100%,100%,100%,97%,100%,100%,100%,100%,100%,99%,100%,18:14,1,0,14.0,0,0,12.0,0,0,10.0,0,0,8.0,9:00,22:00,13.0,8:00,,9:00,21:00,12.0,,,9:00,19:00,10.0,,,9:00,17:00,8.0,,,1,1,0,0,NONE,52.80642857,72.7,53.1,0.12,365064,325168,233777,210779,35669136,31692832,22782223,20790321,1600,1000,1,15:00,,2,20:00,22:00,1,21:00,,1,21:00,,0,,,1,19:00,,0,,
2015-02-13,40.8,,PRESIDENTS WEEK,2,0,0,,0,0,PRESIDENTS WEEK,59.54,45.34,52.44,0,0,0,,0,85%,92%,98%,74%,95%,83%,72%,91%,100%,93%,93%,82%,100%,96%,95%,100%,100%,83%,100%,100%,94%,100%,18:15,0,0,17.0,0,1,14.0,0,0,11.0,0,0,9.0,8:00,1:00,17.0,,,9:00,21:00,12.0,,23:00,9:00,20:00,11.0,,,8:00,17:00,9.0,,,1,1,0,0,NONE,51.16142857,72.8,53.3,0.12,365064,325168,233777,210779,35669136,31692832,22782223,20790321,1600,1000,2,12:00,15:00,2,21:00,23:00,1,22:00,,1,21:00,,0,,,2,19:00,20:30,0,,
